round,arm_pulled,reward,cum_reward,regret
1,0,3,3,21.5580204778157
2,1,15,18,31.116040955631398
3,2,25,43,30.674061433447093
4,3,16,59,39.232081911262796
5,4,23,82,40.7901023890785
6,5,13,95,52.34812286689419
7,6,18,113,58.9061433447099
8,7,21,134,62.46416382252559
9,8,15,149,72.02218430034128
10,9,19,168,77.580204778157
11,10,18,186,84.13822525597271
12,11,10,196,98.69624573378837
13,12,6,202,117.25426621160409
14,13,22,224,119.8122866894198
15,14,9,233,135.37030716723547
16,15,18,251,141.92832764505118
17,16,11,262,155.4863481228669
18,17,10,272,170.04436860068256
19,18,18,290,176.60238907849828
20,19,7,297,194.160409556314
21,20,18,315,200.7184300341297
22,21,19,334,206.27645051194543
23,22,7,341,223.83447098976103
24,23,19,360,229.39249146757675
25,0,6,366,247.95051194539246
26,1,24,390,248.50853242320818
27,2,22,412,251.0665529010239
28,3,16,428,259.6245733788396
29,4,16,444,268.1825938566552
30,5,15,459,277.74061433447093
31,6,13,472,289.29863481228665
32,7,14,486,299.85665529010237
33,8,9,495,315.4146757679181
34,9,21,516,318.9726962457338
35,10,23,539,320.5307167235495
36,11,8,547,337.0887372013651
37,12,6,553,355.64675767918084
38,13,17,570,363.20477815699655
39,14,8,578,379.76279863481227
40,15,18,596,386.320819112628
41,16,10,606,400.8788395904437
42,17,16,622,409.4368600682594
43,18,12,634,421.99488054607514
44,19,6,640,440.55290102389085
45,20,23,663,442.11092150170634
46,21,25,688,441.66894197952206
47,22,5,693,461.2269624573378
48,23,16,709,469.7849829351535
49,0,10,719,484.3430034129692
50,1,18,737,490.9010238907849
51,2,14,751,501.45904436860064
52,3,20,771,506.01706484641636
53,4,18,789,512.5750853242321
54,5,26,815,511.1331058020478
55,6,19,834,516.6911262798635
56,7,20,854,521.2491467576792
57,8,11,865,534.807167235495
58,9,14,879,545.3651877133104
59,10,20,899,549.9232081911262
60,11,8,907,566.4812286689419
61,12,4,911,587.0392491467576
62,13,24,935,587.5972696245733
63,14,12,947,600.155290102389
64,15,25,972,599.7133105802047
65,16,10,982,614.2713310580205
66,17,12,994,626.8293515358362
67,18,16,1010,635.3873720136519
68,19,7,1017,652.9453924914676
69,20,23,1040,654.5034129692833
70,21,28,1068,651.061433447099
71,22,7,1075,668.6194539249145
72,23,13,1088,680.1774744027302
73,0,9,1097,695.735494880546
74,1,14,1111,706.2935153583617
75,2,24,1135,706.8515358361774
76,3,20,1155,711.4095563139931
77,4,21,1176,714.9675767918088
78,5,12,1188,727.5255972696245
79,6,20,1208,732.0836177474403
80,7,18,1226,738.641638225256
81,8,13,1239,750.1996587030717
82,9,26,1265,748.7576791808874
83,10,20,1285,753.3156996587031
84,11,13,1298,764.8737201365188
85,12,4,1302,785.4317406143346
86,13,22,1324,787.9897610921503
87,14,5,1329,807.547781569966
88,15,19,1348,813.1058020477817
89,16,14,1362,823.6638225255974
90,17,12,1374,836.2218430034127
91,18,17,1391,843.7798634812284
92,19,5,1396,863.3378839590441
93,20,13,1409,874.8959044368598
94,21,23,1432,876.4539249146756
95,22,2,1434,899.0119453924913
96,23,14,1448,909.569965870307
97,0,4,1452,930.1279863481227
98,1,16,1468,938.6860068259384
99,2,16,1484,947.2440273037541
100,3,17,1501,954.8020477815699
101,4,19,1520,960.3600682593856
102,5,17,1537,967.9180887372013
103,6,16,1553,976.476109215017
104,7,19,1572,982.0341296928327
105,8,14,1586,992.5921501706484
106,9,21,1607,996.1501706484642
107,10,15,1622,1005.7081911262799
108,11,8,1630,1022.2662116040956
109,12,6,1636,1040.8242320819113
110,13,20,1656,1045.382252559727
111,14,6,1662,1063.9402730375427
112,15,29,1691,1059.4982935153585
113,16,18,1709,1066.0563139931742
114,17,8,1717,1082.61433447099
115,18,14,1731,1093.1723549488056
116,19,6,1737,1111.7303754266209
117,20,19,1756,1117.2883959044366
118,21,17,1773,1124.8464163822523
119,22,3,1776,1146.404436860068
120,23,13,1789,1157.9624573378837
121,0,5,1794,1177.5204778156995
122,1,12,1806,1190.0784982935152
123,2,21,1827,1193.6365187713309
124,3,18,1845,1200.1945392491466
125,4,12,1857,1212.7525597269623
126,5,25,1882,1212.310580204778
127,6,17,1899,1219.8686006825938
128,7,23,1922,1221.4266211604095
129,8,10,1932,1235.9846416382252
130,9,21,1953,1239.542662116041
131,10,22,1975,1242.1006825938566
132,11,7,1982,1259.6587030716723
133,12,4,1986,1280.216723549488
134,13,21,2007,1283.7747440273038
135,14,6,2013,1302.3327645051195
136,15,22,2035,1304.8907849829352
137,16,11,2046,1318.448805460751
138,17,14,2060,1329.0068259385666
139,18,14,2074,1339.5648464163824
140,19,9,2083,1355.122866894198
141,20,21,2104,1358.6808873720133
142,21,34,2138,1349.238907849829
143,22,8,2146,1365.7969283276448
144,23,14,2160,1376.3549488054605
145,0,6,2166,1394.9129692832762
146,1,14,2180,1405.470989761092
147,2,19,2199,1411.0290102389076
148,3,22,2221,1413.5870307167233
149,4,18,2239,1420.145051194539
150,5,24,2263,1420.7030716723548
151,6,16,2279,1429.2610921501705
152,7,12,2291,1441.8191126279862
153,8,15,2306,1451.377133105802
154,9,26,2332,1449.9351535836176
155,10,15,2347,1459.4931740614334
156,11,13,2360,1471.051194539249
157,12,1,2361,1494.6092150170648
158,13,27,2388,1492.1672354948805
159,14,6,2394,1510.7252559726962
160,15,19,2413,1516.283276450512
161,16,13,2426,1527.8412969283277
162,17,15,2441,1537.3993174061434
163,18,15,2456,1546.957337883959
164,19,11,2467,1560.5153583617748
165,20,21,2488,1564.0733788395905
166,21,33,2521,1555.6313993174062
167,22,5,2526,1575.1894197952215
168,23,19,2545,1580.7474402730377
169,0,12,2557,1593.305460750853
170,1,15,2572,1602.8634812286691
171,2,16,2588,1611.4215017064844
172,3,26,2614,1609.9795221843005
173,4,19,2633,1615.5375426621158
174,5,19,2652,1621.095563139932
175,6,14,2666,1631.6535836177472
176,7,22,2688,1634.2116040955634
177,8,7,2695,1651.7696245733787
178,9,20,2715,1656.3276450511948
179,10,13,2728,1667.88566552901
180,11,8,2736,1684.4436860068254
181,12,6,2742,1703.0017064846415
182,13,20,2762,1707.5597269624568
183,14,10,2772,1722.117747440273
184,15,34,2806,1712.6757679180882
185,16,16,2822,1721.2337883959044
186,17,9,2831,1736.7918088737197
187,18,4,2835,1757.3498293515358
188,19,5,2840,1776.907849829351
189,20,18,2858,1783.4658703071673
190,21,23,2881,1785.0238907849825
191,22,9,2890,1800.5819112627987
192,23,8,2898,1817.139931740614
193,0,9,2907,1832.6979522184301
194,1,19,2926,1838.2559726962454
195,2,14,2940,1848.8139931740616
196,3,27,2967,1846.3720136518768
197,4,15,2982,1855.930034129693
198,5,25,3007,1855.4880546075083
199,6,17,3024,1863.0460750853244
200,7,15,3039,1872.6040955631397
201,8,14,3053,1883.1621160409559
202,9,15,3068,1892.7201365187711
203,10,19,3087,1898.2781569965873
204,11,4,3091,1918.8361774744026
205,12,3,3094,1940.3941979522178
206,13,20,3114,1944.952218430034
207,14,4,3118,1965.5102389078493
208,15,20,3138,1970.0682593856654
209,16,15,3153,1979.6262798634807
210,17,14,3167,1990.1843003412969
211,18,15,3182,1999.7423208191121
212,19,5,3187,2019.3003412969283
213,20,23,3210,2020.8583617747436
214,21,23,3233,2022.4163822525597
215,22,6,3239,2040.974402730375
216,23,11,3250,2054.532423208191
217,0,7,3257,2072.0904436860064
218,1,9,3266,2087.6484641638226
219,2,19,3285,2093.206484641638
220,3,19,3304,2098.764505119454
221,4,19,3323,2104.3225255972693
222,5,10,3333,2118.8805460750855
223,6,13,3346,2130.4385665529007
224,7,15,3361,2139.996587030717
225,8,15,3376,2149.554607508532
226,9,19,3395,2155.1126279863483
227,10,9,3404,2170.6706484641636
228,11,10,3414,2185.22866894198
229,12,7,3421,2202.786689419795
230,13,25,3446,2202.344709897611
231,14,14,3460,2212.9027303754265
232,15,21,3481,2216.4607508532417
233,16,13,3494,2228.018771331058
234,17,13,3507,2239.576791808873
235,18,12,3519,2252.1348122866893
236,19,11,3530,2265.6928327645046
237,20,20,3550,2270.2508532423208
238,21,16,3566,2278.808873720136
239,22,8,3574,2295.366894197952
240,23,16,3590,2303.9249146757675
241,0,6,3596,2322.4829351535836
242,1,17,3613,2330.040955631399
243,2,30,3643,2324.598976109215
244,3,17,3660,2332.1569965870303
245,4,18,3678,2338.7150170648465
246,5,29,3707,2334.2730375426618
247,6,16,3723,2342.831058020478
248,7,16,3739,2351.389078498293
249,8,5,3744,2370.9470989761094
250,9,19,3763,2376.5051194539246
251,10,16,3779,2385.063139931741
252,11,15,3794,2394.621160409556
253,12,12,3806,2407.1791808873722
254,13,24,3830,2407.7372013651875
255,14,7,3837,2425.2952218430037
256,15,23,3860,2426.853242320819
257,16,7,3867,2444.411262798634
258,17,15,3882,2453.9692832764504
259,18,12,3894,2466.5273037542656
260,19,5,3899,2486.085324232082
261,20,13,3912,2497.643344709897
262,21,27,3939,2495.2013651877132
263,22,8,3947,2511.7593856655285
264,23,16,3963,2520.3174061433447
265,0,5,3968,2539.87542662116
266,1,23,3991,2541.433447098976
267,2,27,4018,2538.9914675767914
268,3,18,4036,2545.5494880546075
269,4,20,4056,2550.107508532423
270,5,17,4073,2557.665529010239
271,6,16,4089,2566.2235494880542
272,7,20,4109,2570.7815699658704
273,8,14,4123,2581.3395904436857
274,9,23,4146,2582.897610921502
275,10,15,4161,2592.455631399317
276,11,7,4168,2610.0136518771333
277,12,2,4170,2632.5716723549485
278,13,20,4190,2637.1296928327647
279,14,7,4197,2654.68771331058
280,15,29,4226,2650.245733788396
281,16,14,4240,2660.8037542662114
282,17,10,4250,2675.3617747440267
283,18,24,4274,2675.919795221843
284,19,5,4279,2695.477815699658
285,20,21,4300,2699.0358361774743
286,21,25,4325,2698.5938566552895
287,22,12,4337,2711.1518771331057
288,23,14,4351,2721.709897610921
289,0,6,4357,2740.267918088737
290,1,23,4380,2741.8259385665524
291,2,20,4400,2746.3839590443686
292,3,20,4420,2750.941979522184
293,4,19,4439,2756.5
294,5,16,4455,2765.0580204778153
295,6,16,4471,2773.6160409556314
296,7,12,4483,2786.1740614334467
297,8,12,4495,2798.732081911263
298,9,20,4515,2803.290102389078
299,10,27,4542,2800.8481228668943
300,11,13,4555,2812.4061433447096
301,12,8,4563,2828.9641638225257
302,13,23,4586,2830.522184300341
303,14,8,4594,2847.080204778157
304,15,21,4615,2850.6382252559724
305,16,11,4626,2864.1962457337886
306,17,14,4640,2874.754266211604
307,18,10,4650,2889.31228668942
308,19,11,4661,2902.8703071672353
309,20,20,4681,2907.4283276450506
310,21,22,4703,2909.9863481228667
311,22,3,4706,2931.544368600682
312,23,8,4714,2948.102389078498
313,0,4,4718,2968.6604095563134
314,1,22,4740,2971.2184300341296
315,2,25,4765,2970.776450511945
316,3,22,4787,2973.334470989761
317,4,22,4809,2975.8924914675763
318,5,24,4833,2976.4505119453925
319,6,14,4847,2987.0085324232077
320,7,20,4867,2991.566552901024
321,8,14,4881,3002.124573378839
322,9,24,4905,3002.6825938566553
323,10,12,4917,3015.2406143344706
324,11,10,4927,3029.7986348122868
325,12,6,4933,3048.356655290102
326,13,24,4957,3048.914675767918
327,14,12,4969,3061.4726962457335
328,15,29,4998,3057.0307167235496
329,16,13,5011,3068.588737201365
330,17,9,5020,3084.146757679181
331,18,15,5035,3093.7047781569963
332,19,7,5042,3111.2627986348125
333,20,22,5064,3113.8208191126278
334,21,29,5093,3109.378839590443
335,22,6,5099,3127.936860068259
336,23,26,5125,3126.4948805460754
337,0,3,5128,3148.0529010238897
338,1,17,5145,3155.610921501706
339,2,24,5169,3156.168941979522
340,3,19,5188,3161.7269624573382
341,4,26,5214,3160.2849829351526
342,5,21,5235,3163.8430034129688
343,6,16,5251,3172.401023890785
344,7,9,5260,3187.959044368601
345,8,12,5272,3200.5170648464155
346,9,32,5304,3193.0750853242316
347,10,17,5321,3200.633105802048
348,11,8,5329,3217.191126279864
349,12,2,5331,3239.7491467576783
350,13,21,5352,3243.3071672354945
351,14,6,5358,3261.8651877133107
352,15,20,5378,3266.423208191127
353,16,13,5391,3277.981228668941
354,17,11,5402,3291.5392491467574
355,18,13,5415,3303.0972696245735
356,19,5,5420,3322.6552901023897
357,20,19,5439,3328.213310580204
358,21,22,5461,3330.77133105802
359,22,8,5469,3347.3293515358364
360,23,11,5480,3360.8873720136507
361,0,9,5489,3376.445392491467
362,1,17,5506,3384.003412969283
363,2,22,5528,3386.5614334470993
364,3,15,5543,3396.1194539249136
365,4,22,5565,3398.67747440273
366,5,22,5587,3401.235494880546
367,6,13,5600,3412.793515358362
368,7,15,5615,3422.3515358361765
369,8,11,5626,3435.9095563139927
370,9,20,5646,3440.467576791809
371,10,19,5665,3446.025597269625
372,11,12,5677,3458.5836177474393
373,12,6,5683,3477.1416382252555
374,13,19,5702,3482.6996587030717
375,14,7,5709,3500.257679180888
376,15,27,5736,3497.815699658702
377,16,9,5745,3513.3737201365184
378,17,8,5753,3529.9317406143346
379,18,10,5763,3544.4897610921507
380,19,6,5769,3563.047781569965
381,20,17,5786,3570.6058020477813
382,21,24,5810,3571.1638225255974
383,22,8,5818,3587.7218430034136
384,23,14,5832,3598.279863481228
385,0,7,5839,3615.837883959044
386,1,14,5853,3626.3959044368603
387,2,24,5877,3626.9539249146746
388,3,11,5888,3640.511945392491
389,4,13,5901,3652.069965870307
390,5,30,5931,3646.627986348123
391,6,12,5943,3659.1860068259375
392,7,20,5963,3663.7440273037537
393,8,17,5980,3671.30204778157
394,9,16,5996,3679.860068259386
395,10,19,6015,3685.4180887372004
396,11,11,6026,3698.9761092150165
397,12,5,6031,3718.5341296928327
398,13,17,6048,3726.092150170649
399,14,5,6053,3745.6501706484632
400,15,20,6073,3750.2081911262794
401,16,8,6081,3766.7662116040956
402,17,11,6092,3780.3242320819118
403,18,15,6107,3789.882252559726
404,19,6,6113,3808.4402730375423
405,20,16,6129,3816.9982935153585
406,21,19,6148,3822.5563139931746
407,22,5,6153,3842.114334470989
408,23,15,6168,3851.672354948805
409,0,7,6175,3869.2303754266213
410,1,20,6195,3873.7883959044357
411,2,21,6216,3877.346416382252
412,3,14,6230,3887.904436860068
413,4,17,6247,3895.462457337884
414,5,20,6267,3900.0204778156985
415,6,11,6278,3913.5784982935147
416,7,24,6302,3914.136518771331
417,8,12,6314,3926.694539249147
418,9,22,6336,3929.2525597269614
419,10,13,6349,3940.8105802047776
420,11,10,6359,3955.3686006825938
421,12,5,6364,3974.92662116041
422,13,22,6386,3977.4846416382243
423,14,9,6395,3993.0426621160404
424,15,19,6414,3998.6006825938566
425,16,14,6428,4009.158703071673
426,17,15,6443,4018.716723549487
427,18,13,6456,4030.2747440273033
428,19,9,6465,4045.8327645051195
429,20,17,6482,4053.3907849829357
430,21,22,6504,4055.94880546075
431,22,7,6511,4073.506825938566
432,23,17,6528,4081.0648464163824
433,21,26,6554,4079.6228668941985
434,21,21,6575,4083.180887372013
435,21,30,6605,4077.738907849829
436,21,29,6634,4073.296928327645
437,21,28,6662,4069.8549488054596
438,21,22,6684,4072.4129692832757
439,21,22,6706,4074.970989761092
440,21,27,6733,4072.529010238908
441,21,25,6758,4072.0870307167224
442,21,26,6784,4070.6450511945386
443,21,22,6806,4073.203071672355
444,21,19,6825,4078.761092150171
445,21,27,6852,4076.3191126279853
446,21,24,6876,4076.8771331058015
447,21,31,6907,4070.4351535836176
448,21,25,6932,4069.993174061434
449,21,35,6967,4059.551194539248
450,21,22,6989,4062.1092150170643
451,21,29,7018,4057.6672354948805
452,21,17,7035,4065.2252559726967
453,21,23,7058,4066.783276450511
454,21,25,7083,4066.341296928327
455,21,20,7103,4070.8993174061434
456,21,17,7120,4078.4573378839596
457,21,30,7150,4073.015358361774
458,21,24,7174,4073.57337883959
459,21,31,7205,4067.1313993174062
460,21,22,7227,4069.6894197952224
461,21,23,7250,4071.247440273037
462,21,22,7272,4073.805460750853
463,21,24,7296,4074.363481228669
464,21,20,7316,4078.9215017064835
465,21,28,7344,4075.4795221842996
466,21,22,7366,4078.037542662116
467,21,27,7393,4075.595563139932
468,21,24,7417,4076.1535836177463
469,21,17,7434,4083.7116040955625
470,21,23,7457,4085.2696245733787
471,21,21,7478,4088.827645051195
472,21,24,7502,4089.385665529009
473,21,22,7524,4091.9436860068254
474,21,26,7550,4090.5017064846415
475,21,33,7583,4082.0597269624577
476,21,26,7609,4080.617747440272
477,21,25,7634,4080.1757679180882
478,21,24,7658,4080.7337883959044
479,21,20,7678,4085.2918088737206
480,21,26,7704,4083.849829351535
481,21,31,7735,4077.407849829351
482,21,21,7756,4080.9658703071673
483,21,29,7785,4076.5238907849835
484,21,18,7803,4083.081911262798
485,21,25,7828,4082.639931740614
486,21,27,7855,4080.19795221843
487,21,26,7881,4078.7559726962445
488,21,17,7898,4086.3139931740607
489,21,22,7920,4088.872013651877
490,21,24,7944,4089.430034129693
491,21,21,7965,4092.9880546075074
492,21,27,7992,4090.5460750853235
493,21,32,8024,4083.1040955631397
494,21,31,8055,4076.662116040956
495,21,26,8081,4075.2201365187702
496,21,24,8105,4075.7781569965864
497,21,24,8129,4076.3361774744026
498,21,22,8151,4078.8941979522187
499,21,33,8184,4070.452218430033
500,21,25,8209,4070.0102389078493
501,21,17,8226,4077.5682593856654
502,21,23,8249,4079.1262798634816
503,21,28,8277,4075.684300341296
504,21,29,8306,4071.242320819112
505,21,19,8325,4076.8003412969283
506,21,29,8354,4072.3583617747445
507,21,28,8382,4068.916382252559
508,21,27,8409,4066.474402730375
509,21,23,8432,4068.032423208191
510,21,29,8461,4063.5904436860073
511,21,33,8494,4055.1484641638217
512,21,21,8515,4058.706484641638
