round,arm_pulled,reward,cum_reward,regret
1,0,4,4,19.116040955631398
2,1,20,24,22.232081911262796
3,2,19,43,26.348122866894187
4,3,18,61,31.46416382252559
5,4,19,80,35.580204778157
6,5,20,100,38.69624573378837
7,6,11,111,50.81228668941978
8,7,19,130,54.92832764505118
9,8,18,148,60.04436860068259
10,9,18,166,65.160409556314
11,10,20,186,68.27645051194537
12,11,11,197,80.39249146757675
13,12,7,204,96.50853242320818
14,13,21,225,98.62457337883956
15,14,6,231,115.74061433447099
16,15,27,258,111.85665529010237
17,16,14,272,120.97269624573374
18,17,11,283,133.08873720136518
19,18,11,294,145.20477815699655
20,19,5,299,163.320819112628
21,20,16,315,170.43686006825936
22,21,17,332,176.55290102389074
23,22,5,337,194.66894197952217
24,23,12,349,205.7849829351535
25,0,5,354,223.90102389078493
26,1,10,364,237.01706484641636
27,2,31,395,229.1331058020478
28,3,16,411,236.2491467576791
29,4,17,428,242.36518771331055
30,5,15,443,250.48122866894198
31,6,17,460,256.5972696245733
32,7,20,480,259.71331058020473
33,8,14,494,268.82935153583617
34,9,14,508,277.9453924914675
35,10,33,541,268.0614334470989
36,11,9,550,282.17747440273035
37,12,10,560,295.2935153583617
38,13,27,587,291.4095563139931
39,14,8,595,306.52559726962454
40,15,22,617,307.641638225256
41,16,13,630,317.7576791808873
42,17,14,644,326.8737201365187
43,18,10,654,339.98976109215016
44,19,8,662,355.1058020477815
45,20,21,683,357.2218430034129
46,21,24,707,356.33788395904435
47,22,4,711,375.4539249146758
48,23,16,727,382.569965870307
49,0,12,739,393.6860068259384
50,1,15,754,401.80204778156985
51,2,19,773,405.9180887372013
52,3,21,794,408.0341296928327
53,4,16,810,415.15017064846415
54,5,26,836,412.2662116040956
55,6,14,850,421.3822525597268
56,7,19,869,425.4982935153582
57,8,11,880,437.61433447098966
58,9,25,905,435.7303754266211
59,10,18,923,440.8464163822525
60,11,9,932,454.96245733788396
61,12,6,938,472.07849829351517
62,13,19,957,476.1945392491466
63,14,11,968,488.31058020477803
64,15,20,988,491.42662116040947
65,16,14,1002,500.5426621160409
66,17,13,1015,510.65870307167233
67,18,15,1030,518.7747440273038
68,19,6,1036,535.890784982935
69,20,16,1052,543.0068259385664
70,21,20,1072,546.1228668941978
71,22,8,1080,561.2389078498293
72,23,15,1095,569.3549488054607
73,0,8,1103,584.4709897610921
74,1,15,1118,592.5870307167233
75,2,31,1149,584.7030716723548
76,3,20,1169,587.8191126279862
77,4,20,1189,590.9351535836176
78,5,23,1212,591.0511945392491
79,6,16,1228,598.1672354948805
80,7,18,1246,603.283276450512
81,8,11,1257,615.3993174061432
82,9,21,1278,617.5153583617746
83,10,23,1301,617.631399317406
84,11,13,1314,627.7474402730375
85,12,8,1322,642.8634812286689
86,13,20,1342,645.9795221843003
87,14,12,1354,657.0955631399315
88,15,22,1376,658.211604095563
89,16,15,1391,666.3276450511944
90,17,11,1402,678.4436860068258
91,18,7,1409,694.5597269624573
92,19,6,1415,711.6757679180887
93,20,24,1439,710.7918088737201
94,21,21,1460,712.9078498293516
95,22,7,1467,729.023890784983
96,23,10,1477,742.139931740614
97,0,10,1487,755.2559726962454
98,1,18,1505,760.3720136518768
99,2,20,1525,763.4880546075083
100,3,12,1537,774.6040955631397
101,4,13,1550,784.7201365187711
102,5,27,1577,780.8361774744026
103,6,16,1593,787.952218430034
104,7,9,1602,802.0682593856654
105,8,7,1609,818.1843003412969
106,9,27,1636,814.3003412969283
107,10,22,1658,815.4163822525597
108,11,11,1669,827.5324232081912
109,12,5,1674,845.6484641638222
110,13,19,1693,849.7645051194536
111,14,9,1702,863.880546075085
112,15,19,1721,867.9965870307165
113,16,14,1735,877.1126279863479
114,17,14,1749,886.2286689419793
115,18,14,1763,895.3447098976108
116,19,9,1772,909.4607508532422
117,20,23,1795,909.5767918088736
118,21,28,1823,904.692832764505
119,22,5,1828,922.8088737201365
120,23,12,1840,933.9249146757679
121,0,9,1849,948.0409556313994
122,1,15,1864,956.1569965870303
123,2,23,1887,956.2730375426618
124,3,18,1905,961.3890784982932
125,4,14,1919,970.5051194539246
126,5,16,1935,977.6211604095561
127,6,15,1950,985.7372013651875
128,7,19,1969,989.8532423208189
129,8,16,1985,996.9692832764504
130,9,16,2001,1004.0853242320818
131,10,18,2019,1009.2013651877132
132,11,10,2029,1022.3174061433447
133,12,7,2036,1038.433447098976
134,13,25,2061,1036.5494880546075
135,14,17,2078,1042.6655290102385
136,15,27,2105,1038.78156996587
137,16,12,2117,1049.8976109215014
138,17,19,2136,1054.0136518771328
139,18,12,2148,1065.1296928327642
140,19,8,2156,1080.2457337883957
141,20,29,2185,1074.3617747440271
142,21,24,2209,1073.4778156996585
143,22,6,2215,1090.59385665529
144,23,15,2230,1098.7098976109214
145,0,6,2236,1115.8259385665528
146,1,23,2259,1115.9419795221843
147,2,26,2285,1113.0580204778157
148,3,24,2309,1112.1740614334467
149,4,26,2335,1109.2901023890781
150,5,21,2356,1111.4061433447096
151,6,15,2371,1119.522184300341
152,7,20,2391,1122.6382252559724
153,8,11,2402,1134.7542662116039
154,9,16,2418,1141.8703071672353
155,10,21,2439,1143.9863481228667
156,11,12,2451,1155.1023890784982
157,12,3,2454,1175.2184300341296
158,13,23,2477,1175.334470989761
159,14,4,2481,1194.4505119453925
160,15,26,2507,1191.566552901024
161,16,13,2520,1201.6825938566549
162,17,16,2536,1208.7986348122863
163,18,7,2543,1224.9146757679177
164,19,10,2553,1238.0307167235492
165,20,22,2575,1239.1467576791806
166,21,22,2597,1240.262798634812
167,22,7,2604,1256.3788395904435
168,23,17,2621,1262.494880546075
169,0,5,2626,1280.6109215017063
170,1,21,2647,1282.7269624573378
171,2,27,2674,1278.8430034129692
172,3,22,2696,1279.9590443686006
173,4,21,2717,1282.0750853242316
174,5,24,2741,1281.191126279863
175,6,12,2753,1292.3071672354945
176,7,17,2770,1298.423208191126
177,8,13,2783,1308.5392491467574
178,9,20,2803,1311.6552901023888
179,10,19,2822,1315.7713310580202
180,11,11,2833,1327.8873720136517
181,12,2,2835,1349.003412969283
182,13,32,2867,1340.1194539249145
183,14,13,2880,1350.235494880546
184,15,20,2900,1353.3515358361774
185,16,15,2915,1361.4675767918088
186,17,15,2930,1369.5836177474403
187,18,15,2945,1377.6996587030717
188,19,12,2957,1388.8156996587031
189,20,17,2974,1394.9317406143346
190,21,33,3007,1385.047781569966
191,22,5,3012,1403.1638225255974
192,23,18,3030,1408.279863481228
193,0,3,3033,1428.3959044368594
194,1,18,3051,1433.5119453924908
195,2,20,3071,1436.6279863481222
196,3,22,3093,1437.7440273037537
197,4,8,3101,1452.8600682593851
198,5,18,3119,1457.9761092150165
199,6,18,3137,1463.092150170648
200,7,21,3158,1465.2081911262794
201,8,12,3170,1476.3242320819108
202,9,15,3185,1484.4402730375423
203,10,20,3205,1487.5563139931737
204,11,12,3217,1498.6723549488052
205,12,9,3226,1512.7883959044366
206,13,23,3249,1512.904436860068
207,14,13,3262,1523.0204778156995
208,15,19,3281,1527.1365187713309
209,16,9,3290,1541.2525597269623
210,17,14,3304,1550.3686006825938
211,18,12,3316,1561.4846416382252
212,19,7,3323,1577.6006825938566
213,20,22,3345,1578.716723549488
214,21,29,3374,1572.8327645051195
215,22,10,3384,1585.948805460751
216,23,13,3397,1596.0648464163824
217,0,9,3406,1610.1808873720138
218,1,15,3421,1618.2969283276443
219,2,25,3446,1616.4129692832757
220,3,18,3464,1621.5290102389072
221,4,16,3480,1628.6450511945386
222,5,22,3502,1629.76109215017
223,6,12,3514,1640.8771331058015
224,7,18,3532,1645.993174061433
225,8,19,3551,1650.1092150170643
226,9,11,3562,1662.2252559726958
227,10,18,3580,1667.3412969283272
228,11,9,3589,1681.4573378839586
229,12,7,3596,1697.57337883959
230,13,26,3622,1694.6894197952215
231,14,12,3634,1705.805460750853
232,15,15,3649,1713.9215017064844
233,16,22,3671,1715.0375426621158
234,17,9,3680,1729.1535836177472
235,18,12,3692,1740.2696245733787
236,19,6,3698,1757.38566552901
237,20,18,3716,1762.5017064846415
238,21,28,3744,1757.617747440273
239,22,9,3753,1771.7337883959044
240,23,16,3769,1778.8498293515358
241,0,10,3779,1791.9658703071673
242,1,17,3796,1798.0819112627987
243,2,21,3817,1800.1979522184301
244,3,22,3839,1801.3139931740607
245,4,18,3857,1806.430034129692
246,5,22,3879,1807.5460750853235
247,6,16,3895,1814.662116040955
248,7,27,3922,1810.7781569965864
249,8,14,3936,1819.8941979522178
250,9,20,3956,1823.0102389078493
251,10,21,3977,1825.1262798634807
252,11,10,3987,1838.2423208191121
253,12,6,3993,1855.3583617747436
254,13,26,4019,1852.474402730375
255,14,13,4032,1862.5904436860064
256,15,35,4067,1850.7064846416379
257,16,16,4083,1857.8225255972693
258,17,18,4101,1862.9385665529007
259,18,19,4120,1867.0546075085322
260,19,4,4124,1886.1706484641636
261,20,24,4148,1885.286689419795
262,21,25,4173,1883.4027303754265
263,22,14,4187,1892.518771331058
264,23,15,4202,1900.6348122866893
265,0,13,4215,1910.7508532423208
266,1,14,4229,1919.8668941979522
267,2,22,4251,1920.9829351535836
268,3,17,4268,1927.098976109215
269,4,14,4282,1936.2150170648456
270,5,16,4298,1943.331058020477
271,6,11,4309,1955.4470989761085
272,7,16,4325,1962.56313993174
273,8,18,4343,1967.6791808873713
274,9,14,4357,1976.7952218430028
275,10,19,4376,1980.9112627986342
276,11,10,4386,1994.0273037542656
277,12,5,4391,2012.143344709897
278,13,31,4422,2004.2593856655285
279,14,7,4429,2020.37542662116
280,15,24,4453,2019.4914675767914
281,16,18,4471,2024.6075085324228
282,17,12,4483,2035.7235494880542
283,18,10,4493,2048.8395904436857
284,19,8,4501,2063.955631399317
285,20,17,4518,2070.0716723549485
286,21,20,4538,2073.18771331058
287,22,15,4553,2081.3037542662114
288,23,6,4559,2098.419795221843
289,0,6,4565,2115.5358361774743
290,1,22,4587,2116.6518771331057
291,2,26,4613,2113.767918088737
292,3,23,4636,2113.8839590443686
293,4,17,4653,2120.0
294,5,19,4672,2124.1160409556314
295,6,21,4693,2126.232081911262
296,7,19,4712,2130.3481228668934
297,8,13,4725,2140.464163822525
298,9,29,4754,2134.5802047781563
299,10,23,4777,2134.6962457337877
300,11,9,4786,2148.812286689419
301,12,10,4796,2161.9283276450506
302,13,24,4820,2161.044368600682
303,14,8,4828,2176.1604095563134
304,15,17,4845,2182.276450511945
305,16,13,4858,2192.3924914675763
306,17,9,4867,2206.5085324232077
307,18,14,4881,2215.624573378839
308,19,10,4891,2228.7406143344706
309,20,19,4910,2232.856655290102
310,21,18,4928,2237.9726962457335
311,22,6,4934,2255.088737201365
312,23,11,4945,2267.2047781569963
313,0,3,4948,2287.3208191126278
314,1,19,4967,2291.436860068259
315,2,26,4993,2288.5529010238906
316,3,22,5015,2289.668941979522
317,4,18,5033,2294.7849829351535
318,5,19,5052,2298.901023890785
319,6,14,5066,2308.0170648464164
320,7,20,5086,2311.133105802048
321,8,13,5099,2321.2491467576783
322,9,22,5121,2322.3651877133098
323,10,21,5142,2324.481228668941
324,11,10,5152,2337.5972696245726
325,12,4,5156,2356.713310580204
326,13,22,5178,2357.8293515358355
327,14,9,5187,2371.945392491467
328,15,22,5209,2373.0614334470984
329,16,10,5219,2386.17747440273
330,17,15,5234,2394.293515358361
331,18,19,5253,2398.4095563139927
332,19,9,5262,2412.525597269624
333,20,21,5283,2414.6416382252555
334,21,28,5311,2409.757679180887
335,22,8,5319,2424.8737201365184
336,23,13,5332,2434.98976109215
337,0,9,5341,2449.1058020477813
338,1,18,5359,2454.2218430034127
339,2,22,5381,2455.337883959044
340,3,18,5399,2460.4539249146756
341,4,16,5415,2467.569965870307
342,5,15,5430,2475.6860068259384
343,6,17,5447,2481.80204778157
344,7,15,5462,2489.9180887372013
345,8,7,5469,2506.0341296928327
346,9,21,5490,2508.1501706484632
347,10,23,5513,2508.2662116040947
348,11,8,5521,2523.382252559726
349,12,5,5526,2541.4982935153575
350,13,25,5551,2539.614334470989
351,14,6,5557,2556.7303754266204
352,15,27,5584,2552.846416382252
353,16,9,5593,2566.9624573378833
354,17,5,5598,2585.0784982935147
355,18,9,5607,2599.194539249147
356,19,8,5615,2614.3105802047776
357,20,15,5630,2622.42662116041
358,21,16,5646,2629.5426621160404
359,22,14,5660,2638.658703071671
360,23,14,5674,2647.7747440273033
361,0,7,5681,2663.890784982934
362,1,17,5698,2670.006825938566
363,2,18,5716,2675.1228668941967
364,3,26,5742,2672.238907849829
365,4,14,5756,2681.3549488054596
366,5,23,5779,2681.470989761092
367,6,14,5793,2690.5870307167224
368,7,19,5812,2694.703071672355
369,8,16,5828,2701.8191126279853
370,9,19,5847,2705.9351535836176
371,10,21,5868,2708.051194539248
372,11,12,5880,2719.1672354948805
373,12,5,5885,2737.283276450511
374,13,20,5905,2740.3993174061434
375,14,3,5908,2760.515358361774
376,15,23,5931,2760.6313993174062
377,16,11,5942,2772.747440273037
378,17,12,5954,2783.863481228669
379,18,13,5967,2793.9795221842996
380,19,4,5971,2813.095563139932
381,20,14,5985,2822.2116040955625
382,21,21,6006,2824.327645051195
383,22,7,6013,2840.4436860068254
384,23,17,6030,2846.559726962456
385,0,5,6035,2864.6757679180882
386,1,14,6049,2873.7918088737188
387,2,18,6067,2878.907849829351
388,3,21,6088,2881.0238907849816
389,4,20,6108,2884.139931740614
390,5,14,6122,2893.2559726962445
391,6,15,6137,2901.372013651877
392,7,17,6154,2907.4880546075074
393,8,12,6166,2918.6040955631397
394,9,17,6183,2924.7201365187702
395,10,14,6197,2933.8361774744026
396,11,8,6205,2948.952218430033
397,12,4,6209,2968.0682593856654
398,13,23,6232,2968.184300341296
399,14,6,6238,2985.3003412969283
400,15,22,6260,2986.416382252559
401,16,13,6273,2996.532423208191
402,17,13,6286,3006.6484641638217
403,18,15,6301,3014.764505119454
404,19,8,6309,3029.8805460750846
405,20,19,6328,3033.996587030717
406,21,26,6354,3031.1126279863474
407,22,6,6360,3048.22866894198
408,23,13,6373,3058.3447098976103
409,0,5,6378,3076.4607508532426
410,1,9,6387,3090.576791808873
411,2,26,6413,3087.6928327645037
412,3,17,6430,3093.808873720136
413,4,16,6446,3100.9249146757666
414,5,13,6459,3111.040955631399
415,6,11,6470,3123.1569965870294
416,7,18,6488,3128.2730375426618
417,8,9,6497,3142.3890784982923
418,9,25,6522,3140.5051194539246
419,10,21,6543,3142.621160409555
420,11,12,6555,3153.7372013651875
421,12,7,6562,3169.853242320818
422,13,22,6584,3170.9692832764504
423,14,5,6589,3189.085324232081
424,15,22,6611,3190.2013651877132
425,16,17,6628,3196.3174061433438
426,17,11,6639,3208.433447098976
427,18,15,6654,3216.5494880546066
428,19,5,6659,3234.665529010239
429,20,19,6678,3238.7815699658695
430,21,22,6700,3239.897610921502
431,22,8,6708,3255.0136518771324
432,23,12,6720,3266.1296928327647
433,13,25,6745,3264.2457337883952
434,13,29,6774,3258.3617747440276
435,13,25,6799,3256.477815699658
436,13,26,6825,3253.5938566552886
437,13,18,6843,3258.709897610921
438,13,29,6872,3252.8259385665515
439,13,18,6890,3257.941979522184
440,13,23,6913,3258.0580204778144
441,13,22,6935,3259.1740614334467
442,13,27,6962,3255.290102389077
443,13,25,6987,3253.4061433447096
444,13,18,7005,3258.52218430034
445,13,21,7026,3260.6382252559724
446,13,22,7048,3261.754266211603
447,13,20,7068,3264.8703071672353
448,13,15,7083,3272.986348122866
449,13,23,7106,3273.102389078498
450,13,31,7137,3265.2184300341287
451,13,24,7161,3264.334470989761
452,13,19,7180,3268.4505119453916
453,13,23,7203,3268.566552901024
454,13,26,7229,3265.6825938566544
455,13,17,7246,3271.7986348122868
456,13,29,7275,3265.9146757679173
457,13,22,7297,3267.0307167235496
458,13,21,7318,3269.14675767918
459,13,31,7349,3261.2627986348125
460,13,27,7376,3257.378839590443
461,13,23,7399,3257.4948805460735
462,13,31,7430,3249.610921501706
463,13,23,7453,3249.7269624573364
464,13,25,7478,3247.8430034129688
465,13,23,7501,3247.9590443685993
466,13,28,7529,3243.0750853242316
467,13,21,7550,3245.191126279862
468,13,24,7574,3244.3071672354945
469,13,30,7604,3237.423208191125
470,13,17,7621,3243.5392491467574
471,13,34,7655,3232.655290102388
472,13,18,7673,3237.77133105802
473,13,23,7696,3237.8873720136507
474,13,25,7721,3236.003412969283
475,13,26,7747,3233.1194539249136
476,13,16,7763,3240.235494880546
477,13,21,7784,3242.3515358361765
478,13,22,7806,3243.467576791809
479,13,22,7828,3244.5836177474393
480,13,23,7851,3244.6996587030717
481,13,17,7868,3250.815699658702
482,13,20,7888,3253.9317406143346
483,13,24,7912,3253.047781569965
484,13,24,7936,3252.1638225255974
485,13,22,7958,3253.279863481228
486,13,16,7974,3260.3959044368603
487,13,28,8002,3255.511945392491
488,13,25,8027,3253.6279863481213
489,13,24,8051,3252.7440273037537
490,13,28,8079,3247.860068259384
491,13,21,8100,3249.9761092150165
492,13,19,8119,3254.092150170647
493,13,21,8140,3256.2081911262794
494,13,23,8163,3256.32423208191
495,13,24,8187,3255.4402730375423
496,13,17,8204,3261.556313993173
497,13,21,8225,3263.672354948805
498,13,23,8248,3263.7883959044357
499,13,23,8271,3263.904436860068
500,13,31,8302,3256.0204778156985
501,13,36,8338,3243.136518771331
502,13,29,8367,3237.2525597269614
503,13,26,8393,3234.3686006825938
504,13,26,8419,3231.4846416382243
505,13,19,8438,3235.6006825938566
506,13,23,8461,3235.716723549487
507,13,27,8488,3231.8327645051195
508,13,23,8511,3231.94880546075
509,13,27,8538,3228.0648464163824
510,13,24,8562,3227.180887372013
511,13,25,8587,3225.296928327645
512,13,32,8619,3216.4129692832757
